event,event_type,eventID,date,location,fight,fightID,weight_class,fight_duration,scheduled_rounds,result,fighter,fighterID,outcome,SigStr,StrAccuracy,SLPM,StrDef,takedown,takedownAcc,takedownDef,opp,oppID,oppOutcome,opp_SigStr,opp_StrAccuracy,opp_SLPM,opp_StrDef,opp_takedown,opp_takedownAcc,opp_takedownDef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC 2: No Way Out,UFC,0002PPV,3/11/1994,"Denver, Colorado, USA",Royce Gracie vs Minoki Ichihara,0016UFC,Open Weight,5.13,No Limit,Submission,Royce Gracie,graciroy01,W,2,0.5,0.389863548,0.571428571,1,1,1,Minoki Ichihara,ichihmin01,L,3,0.428571429,0.584795322,0.5,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC 2: No Way Out,UFC,0002PPV,3/11/1994,"Denver, Colorado, USA",Scott Baker vs Jason DeLucia,0017UFC,Open Weight,6.68,No Limit,Submission,Jason DeLucia,delucjas01,W,3,0.6,0.449101796,1,0,0,0,Scott Baker,bakersco01,L,0,0,0,0.4,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC 2: No Way Out,UFC,0002PPV,3/11/1994,"Denver, Colorado, USA",Alberta Cerra Leon vs Remco Pardoel,0018UFC,Open Weight,9.85,No Limit,Submission,Remco Pardoel,pardorem01,W,4,0.666666667,0.406091371,0.666666667,1,1,1,Alberta Cerra Leon,leonalbe01,L,1,0.333333333,0.101522843,0.333333333,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC 2: No Way Out,UFC,0002PPV,3/11/1994,"Denver, Colorado, USA",Robert Lucarelli vs Orlando Wiet,0019UFC,Open Weight,2.83,No Limit,KO/TKO,Orlando Wiet,wietorla01,W,8,0.666666667,2.826855124,0.666666667,0,0,0,Robert Lucarelli,lucarrob01,L,2,0.333333333,0.706713781,0.333333333,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC 2: No Way Out,UFC,0002PPV,3/11/1994,"Denver, Colorado, USA",Frank Hamaker vs Thaddeus Luster,0020UFC,Open Weight,4.87,No Limit,Submission,Frank Hamaker,hamakfra01,W,2,0.666666667,0.410677618,1,1,1,1,Thaddeus Luster,lustetha01,L,0,0,0,0.333333333,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC 2: No Way Out,UFC,0002PPV,3/11/1994,"Denver, Colorado, USA",David Levicki vs Johnny Rhodes,0021UFC,Open Weight,12.22,No Limit,KO/TKO,Johnny Rhodes,rhodejoh01,W,11,0.647058824,0.900163666,0.2,1,1,1,David Levicki,levicdav01,L,4,0.8,0.327332242,0.352941176,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC 2: No Way Out,UFC,0002PPV,3/11/1994,"Denver, Colorado, USA",Patrick Smith vs Ray Wizard,0022UFC,Open Weight,0.97,No Limit,Submission,Patrick Smith,smithpat01,W,1,1,1.030927835,0,0,0,1,Ray Wizard,wizarray01,L,1,1,1.030927835,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC 2: No Way Out,UFC,0002PPV,3/11/1994,"Denver, Colorado, USA",Sean Daugherty vs Scott Morris,0023UFC,Open Weight,0.33,No Limit,Submission,Scott Morris,morrisco01,W,1,1,3.03030303,1,1,1,1,Sean Daugherty,daughsea01,L,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC 3: The American Dream,UFC,0003PPV,9/9/1994,"Charlotte, North Carolina, USA",Harold Howard vs Steve Jennum,0024UFC,Open Weight,1.45,No Limit,KO/TKO,Steve Jennum,jennuste01,W,6,0.545454545,4.137931034,0.666666667,1,1,1,Harold Howard,howarhar01,L,2,0.333333333,1.379310345,0.454545455,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC 3: The American Dream,UFC,0003PPV,9/9/1994,"Charlotte, North Carolina, USA",Felix Lee Mitchell vs Ken Shamrock,0025UFC,Open Weight,4.57,No Limit,Submission,Ken Shamrock,shamrken01,W,4,1,0.875273523,0,1,0.5,1,Felix Lee Mitchell,mitchfel01,L,3,1,0.656455142,0,0,0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
